Sample,SCFA_A1_HiF,SCFA_A2_HiF,SCFA_B1_HiF,SCFA_B2_HiF,SCFA_C1_HiF,SCFA_C2_HiF,SCFA_A1_LoF,SCFA_A2_LoF,SCFA_B1_LoF,SCFA_B2_LoF,SCFA_C1_LoF,SCFA_C2_LoF
glyceric acid,15374.8,12606.1,10804.5,23132.1,8967.2,17808,12847.2,17449.3,14454.1,20784.2,17978.2,15707.7
glycerol 3-phosphate,156708.1,205382.9,120867,192303.5,321669,139929.5,762502.5,194085.3,267091.9,334691.6,887746.7,654932.7
glycine,302953.9,351284.9,314454.8,646263.5,410946.4,380405.6,615720.4,695682.9,510160.3,563106.1,1068566.8,802844.5
glycolic acid,8336.4,7020.1,8386.3,16764.7,8925.9,11207,24833.5,27109.8,19959.1,22258.2,27680,18240.4
heneicosanoic acid,2898.9,3368.3,7281.3,10770.8,9234.7,8139.2,6687.9,7413.9,8105.3,4985.1,3392.2,2789.3
heptadecanoic acid,15258.1,2015.3,8194.9,5686.2,28266.3,5531.3,7495.2,5164.5,12733.3,29974.7,4796.2,4262.9
hexacosanoic acid,2663.1,3690.2,6572.3,7940.5,4665.6,6847.6,3228.6,8676.9,5924.8,5768,1021.6,2294.2
hexadecanedioic acid,2360.9,4765.3,4698.5,6104.7,6711.8,4548,8580.3,11798.2,14267.4,18029.4,14135.7,11691.4
hexadecylglycerol,6629.1,6815.8,6714.3,10760.6,11232.3,7400.3,25818.6,15876.9,21917.8,16248.4,41775.6,23642.5
hypotaurine,13302.9,10405.6,10295.1,19028.3,24567.4,14161,24513.7,22089.4,31984.6,24789.7,36988.7,24821.8
lactate,93851.4,113253.9,67757.1,78648.2,80572.4,100148.9,214282.9,215079.6,193822.2,224333.4,241598.3,251012
L-alanine,448150.1,364772.6,411879.9,649230.7,524176,507564.3,1203010.1,1226884.2,932921.2,998756,1642969.8,1373451
lanosterol,1626.8,1853.3,2200.1,2503.8,5533.5,3938,2214.5,0,5112.9,1685,6808.3,718.5
L-aspartic acid,499449.6,439979.5,392679.4,674370.3,439263.4,462638,688826.6,831190.4,795323.5,851449.4,1046104.9,884648.3
lauric acid,2274.7,750.2,1072.4,1773.4,1710.6,2023.5,1754.2,3922.7,3907.1,2797.5,2184.5,7960.8
L-citrulline,16501.3,2974.9,3188.2,16207.7,16849.3,10159.3,47494.6,48472.6,46921.4,59159.1,89085,66463.5
L-cysteine,19967.5,12418,13414.3,15816.4,24261.5,8116.9,72064.1,54859.3,43245.7,43735.4,149944.8,84060.3
L-glutamic acid,228933.6,182073.3,128542.1,316310.9,212769.6,211897.1,320138.6,376836.2,316482.2,331539.9,469477.2,443671.8
lignoceric acid,18020.5,20530.9,50556.4,63743.6,40417.6,47908.8,29084.4,54723.4,43565.4,35475,21542,21997.2
linoleic acid,44224,35848.6,50111.2,72210.8,100257.2,63935.2,351817.3,166911.1,256355.5,194901.4,447069,375998.7
L-isoleucine,171032,113262.7,121257.3,233339.3,198257.2,163250.7,506015.1,629887.8,397505.2,412139.2,770597.6,597969.2
L-leucine,390240.2,286831.3,302646.1,514564.9,511238.1,384150,1262310.8,1347404.8,960461.7,1054720.3,1728260.1,1417833.3
L-lysine,282703.7,154675.9,144497.2,316999.5,330431.5,242168.4,1208431.4,1124927.4,973967.2,963436.9,1783607.3,1321502.2
L-methionine,101530.9,52286.5,45534.3,74035.2,95079.7,60198.7,239117.3,202606.7,162009,133787.2,337390.3,304747
