"Metabolite"	"coefficient"	"p_value"	"bh"	"Class"	"KEGGid"
"lanosterol"	-0.590060066867953	0.422298888864931	0.491468534454876	"Sterol"	"C01724"
"2-deoxyuridine"	0.272176797431574	0.43911696806645	0.506673424692058	"Misc"	"C00526"
"arabitol"	-0.157163153113478	0.499717090264764	0.571710230387653	"Carbohydrate"	"C00532"
"behenic acid"	-0.326409682541879	0.512411857742381	0.581307569707743	"Lipid"	"C08281"
"tricosanol"	-0.178464701077028	0.531952611119649	0.598446687509605	"Lipid"	""
"heneicosanoic acid"	-0.267054925347407	0.537252012733641	0.599413402636707	"Lipid"	""
"galactonic acid"	0.329377906668418	0.58356785045763	0.645751309932623	"Carbohydrate"	"C00880"
"O-phosphocolamine"	0.665026828991512	0.626122640866103	0.687207776560357	"Misc"	"C00346"
"lignoceric acid"	-0.164337250560293	0.649157347441479	0.706743886327417	"Lipid"	"C08320"
"fucose"	-0.234252177916308	0.707732236017051	0.764350814898415	"Carbohydrate"	"C01019"
"citric acid"	-0.262122430070443	0.768949266304863	0.818730836567077	"TCA"	"C00158"
"D-mannitol"	0.171423610547057	0.771696236972332	0.818730836567077	"Carbohydrate"	"C00392"
"nicotinic acid"	-0.0772296673015	0.776278126522858	0.818730836567077	"Lipid"	"C00253"
"3-(3-hydroxyphenyl)propionic acid"	-0.260195381671026	0.819054836173466	0.857150409948976	"Misc"	"C11457"
"D-glucuronic acid"	-0.0492405742850113	0.84807691299049	0.880695255797817	"Carbohydrate"	"C00191"
"pentadecanoic acid"	-0.0367294672464013	0.900524477699435	0.927559409079275	"Lipid"	"C16537"
"chenodeoxycholic acid"	0.113030578562029	0.906946977766402	0.927559409079275	"Sterol"	"C02528"
"heptadecanoic acid"	0.071868599373397	0.923312014287949	0.936855458298774	"Lipid"	""
"beta-tocopherol"	-0.0153981145340243	0.929915788237301	0.936855458298774	"Misc"	"C14152"
"cholic acid"	0.00238093663521912	0.993623382927164	0.993623382927164	"Sterol"	"C00695"
